product_id,sku,category,subcategory,brand,unit_cost
1,SKU-00001,Beverage,Water,GreenLine,38.54
2,SKU-00002,Grocery,Oil,PureLife,7.97
3,SKU-00003,Dairy,Cheese,NovaFresh,25.47
4,SKU-00004,Grocery,Pasta,NovaFresh,38.52
5,SKU-00005,Snacks,Nuts,PureLife,33.64
6,SKU-00006,Beverage,Soda,AlphaFoods,14.83
7,SKU-00007,Dairy,Milk,Sunrise,19.24
8,SKU-00008,Beverage,Water,GreenLine,31.25
9,SKU-00009,Snacks,Biscuits,PureLife,5.9
10,SKU-00010,PersonalCare,Toothpaste,Sunrise,21.76
11,SKU-00011,Dairy,Yogurt,UrbanTaste,26.35
12,SKU-00012,Beverage,Juice,NovaFresh,2.92
13,SKU-00013,PersonalCare,Soap,AlphaFoods,2.52
14,SKU-00014,Frozen,Dessert,GreenLine,35.38
15,SKU-00015,Dairy,Cheese,PureLife,27.74
16,SKU-00016,Frozen,Dessert,UrbanTaste,35.99
17,SKU-00017,Frozen,Dessert,GreenLine,8.27
18,SKU-00018,PersonalCare,Shampoo,NovaFresh,1.08
19,SKU-00019,Grocery,Pasta,AlphaFoods,31.47
20,SKU-00020,Frozen,Dessert,PureLife,18.7
21,SKU-00021,Dairy,Milk,Sunrise,29.48
22,SKU-00022,Beverage,Soda,GreenLine,6.23
23,SKU-00023,Frozen,Veg,NovaFresh,26.64
24,SKU-00024,Frozen,Dessert,GreenLine,20.98
25,SKU-00025,Snacks,Biscuits,Sunrise,24.67
26,SKU-00026,Beverage,Soda,AlphaFoods,6.26
27,SKU-00027,Beverage,Soda,AlphaFoods,25.41
28,SKU-00028,Grocery,Oil,UrbanTaste,34.08
29,SKU-00029,Snacks,Biscuits,NovaFresh,38.39
30,SKU-00030,PersonalCare,Soap,UrbanTaste,26.69
31,SKU-00031,Beverage,Soda,GreenLine,34.87
32,SKU-00032,Snacks,Chips,Sunrise,33.89
33,SKU-00033,Beverage,Water,GreenLine,17.44
34,SKU-00034,Snacks,Chips,NovaFresh,33.36
35,SKU-00035,Grocery,Pasta,Sunrise,6.27
36,SKU-00036,Snacks,Nuts,AlphaFoods,13.06
37,SKU-00037,Snacks,Biscuits,GreenLine,24.56
38,SKU-00038,Grocery,Oil,AlphaFoods,39.81
39,SKU-00039,Beverage,Soda,PureLife,22.44
40,SKU-00040,PersonalCare,Shampoo,UrbanTaste,15.96
41,SKU-00041,Dairy,Milk,NovaFresh,28.17
42,SKU-00042,Snacks,Chips,AlphaFoods,14.86
43,SKU-00043,Beverage,Soda,GreenLine,34.13
44,SKU-00044,PersonalCare,Soap,PureLife,35.0
45,SKU-00045,Snacks,Nuts,PureLife,24.78
46,SKU-00046,Frozen,Veg,UrbanTaste,21.16
47,SKU-00047,PersonalCare,Shampoo,AlphaFoods,35.2
48,SKU-00048,Grocery,Oil,NovaFresh,21.83
49,SKU-00049,Dairy,Cheese,UrbanTaste,36.23
50,SKU-00050,Snacks,Biscuits,Sunrise,26.25
51,SKU-00051,Grocery,Oil,PureLife,12.38
52,SKU-00052,Beverage,Water,Sunrise,4.06
53,SKU-00053,Frozen,Pizza,NovaFresh,4.12
54,SKU-00054,Beverage,Juice,AlphaFoods,7.77
55,SKU-00055,Beverage,Soda,AlphaFoods,30.24
56,SKU-00056,Dairy,Cheese,Sunrise,21.8
57,SKU-00057,Frozen,Dessert,NovaFresh,18.2
58,SKU-00058,Dairy,Cheese,GreenLine,16.83
59,SKU-00059,Snacks,Chips,AlphaFoods,36.75
60,SKU-00060,Beverage,Juice,Sunrise,5.62
61,SKU-00061,Grocery,Pasta,PureLife,22.87
62,SKU-00062,PersonalCare,Soap,PureLife,21.0
63,SKU-00063,Beverage,Water,NovaFresh,16.73
64,SKU-00064,Snacks,Biscuits,GreenLine,38.81
65,SKU-00065,Grocery,Rice,GreenLine,36.5
66,SKU-00066,Dairy,Yogurt,PureLife,14.26
67,SKU-00067,Snacks,Nuts,NovaFresh,13.8
68,SKU-00068,Grocery,Oil,Sunrise,32.6
69,SKU-00069,PersonalCare,Shampoo,GreenLine,21.89
70,SKU-00070,Snacks,Biscuits,UrbanTaste,6.38
71,SKU-00071,Grocery,Oil,Sunrise,11.7
72,SKU-00072,Grocery,Oil,AlphaFoods,17.56
73,SKU-00073,Beverage,Soda,Sunrise,27.18
74,SKU-00074,PersonalCare,Soap,UrbanTaste,12.48
75,SKU-00075,Snacks,Biscuits,AlphaFoods,35.25
76,SKU-00076,Grocery,Pasta,PureLife,7.88
77,SKU-00077,Frozen,Pizza,NovaFresh,9.7
78,SKU-00078,Dairy,Cheese,NovaFresh,7.05
79,SKU-00079,Grocery,Pasta,AlphaFoods,1.74
80,SKU-00080,Dairy,Yogurt,Sunrise,36.49
81,SKU-00081,Grocery,Pasta,NovaFresh,27.52
82,SKU-00082,Grocery,Pasta,UrbanTaste,24.94
83,SKU-00083,PersonalCare,Toothpaste,AlphaFoods,34.18
84,SKU-00084,Grocery,Pasta,GreenLine,2.27
85,SKU-00085,Snacks,Chips,AlphaFoods,18.04
86,SKU-00086,PersonalCare,Toothpaste,UrbanTaste,23.56
87,SKU-00087,PersonalCare,Soap,Sunrise,19.06
88,SKU-00088,Beverage,Water,GreenLine,2.51
89,SKU-00089,Beverage,Water,UrbanTaste,29.04
90,SKU-00090,Snacks,Nuts,UrbanTaste,9.79
91,SKU-00091,Frozen,Dessert,UrbanTaste,32.92
92,SKU-00092,Snacks,Biscuits,NovaFresh,33.84
93,SKU-00093,Frozen,Dessert,AlphaFoods,36.75
94,SKU-00094,Beverage,Soda,GreenLine,7.54
95,SKU-00095,PersonalCare,Soap,NovaFresh,33.9
96,SKU-00096,PersonalCare,Soap,UrbanTaste,12.45
97,SKU-00097,Frozen,Pizza,AlphaFoods,22.43
98,SKU-00098,Dairy,Milk,GreenLine,35.77
